bidding_zone_from,DK_1,SE_4,EE,NO_4,RU,SE_1,SE_3,NO_2,NO_3,NO_5,NL,NO_1,SE_2,FI,DK_2,LT,PL,DE
DK_2,-590.0,-236.0,,,,,,,,,,,,,,,,585.0
FI,,,984.0,-30.0,-186.0,-1261.0,-1202.0,,,,,,,,,,,
NO_1,,,,,,,-842.0,0.0,-111.0,-1059.0,,,,,,,,
NO_2,432.0,,,,,,,,,419.0,425.0,0.0,,,,,,
NO_3,,,,-372.0,,,,,,-28.0,,111.0,-504.0,,,,,
NO_4,,,,,,-353.0,,,372.0,,,,-118.0,30.0,,,,
NO_5,,,,,,,,-419.0,28.0,,,1059.0,,,,,,
SE_1,,,,353.0,,,,,,,,,58.0,1261.0,,,,
SE_2,,,,118.0,,-58.0,5620.0,,504.0,,,,,,,,,
SE_3,-696.0,3690.0,,,,,,,,,,842.0,-5620.0,1202.0,,,,
SE_4,,,,,,,-3690.0,,,,,,,,236.0,733.0,598.0,608.0
