bidding_zone_from,DK_1,SE_4,EE,NO_4,RU,SE_1,SE_3,NO_2,NO_3,NO_5,NL,NO_1,SE_2,FI,DK_2,LT,PL,DE
DK_2,-313.0,-919.0,,,,,,,,,,,,,,,,324.0
FI,,,38.0,-44.0,-527.0,-1094.0,195.0,,,,,,,,,,,
NO_1,,,,,,,546.0,0.0,-329.0,-2116.0,,,,,,,,
NO_2,715.0,,,,,,,,,19.0,424.0,0.0,,,,,,
NO_3,,,,-1014.0,,,,,,251.0,,329.0,314.0,,,,,
NO_4,,,,,,374.0,,,1014.0,,,,136.0,44.0,,,,
NO_5,,,,,,,,-19.0,-251.0,,,2116.0,,,,,,
SE_1,,,,-374.0,,,,,,,,,1933.0,1094.0,,,,
SE_2,,,,-136.0,,-1933.0,7412.0,,-314.0,,,,,,,,,
SE_3,568.0,3861.0,,,,,,,,,,-546.0,-7412.0,-195.0,,,,
SE_4,,,,,,,-3861.0,,,,,,,,919.0,-625.0,597.0,-111.0
