bidding_zone_from,DK_1,SE_4,EE,NO_4,RU,SE_1,SE_3,NO_2,NO_3,NO_5,NL,NO_1,SE_2,FI,DK_2,LT,PL,DE
DK_2,-381.0,-1050.0,,,,,,,,,,,,,,,,582.0
FI,,,943.0,-76.0,0.0,-1363.0,-1201.0,,,,,,,,,,,
NO_1,,,,,,,1014.0,507.0,-173.0,-1287.0,,,,,,,,
NO_2,1160.0,,,,,,,,,-395.0,703.0,-507.0,,,,,,
NO_3,,,,-463.0,,,,,,433.0,,173.0,369.0,,,,,
NO_4,,,,,,451.0,,,463.0,,,,10.0,76.0,,,,
NO_5,,,,,,,,395.0,-433.0,,,1287.0,,,,,,
SE_1,,,,-451.0,,,,,,,,,1039.0,1363.0,,,,
SE_2,,,,-10.0,,-1039.0,5011.0,,-369.0,,,,,,,,,
SE_3,351.0,3820.0,,,,,,,,,,-1014.0,-5011.0,1201.0,,,,
SE_4,,,,,,,-3820.0,,,,,,,,1050.0,733.0,597.0,7.0
