Generator,name,carrier,bus,p_nom_min,p_nom,p_nom_extendable,efficiency,marginal_cost,capital_cost,build_year,lifetime,source,p_nom_max,p_max_pu,min_up_time,min_down_time,up_time_before,down_time_before,weight,control,type,p_min_pu,p_set,q_set,sign,committable,start_up_cost,shut_down_cost,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p_nom_opt,country,bidding_zone,p_set_before_scaling
C14,Rya Kvv,CCGT,6308,261.0,261.0,0,0.58,38.8551724137931,99299.0381405309,2006.0,40.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,186.358767461005,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_3,261.0
C28,Oresundsverket Malmo,CCGT,5671,448.0,448.0,0,0.58,38.8551724137931,99299.0381405309,2009.0,40.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,115.784082007656,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_4,448.0
C90,Abyverket,biomass,6640,100.0,100.0,0,0.47,14.8936170212766,278844.936767979,2004.0,20.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,71.401826613412,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_3,100.0
C91,Fyris Uppsala,biomass,6595,120.0,120.0,0,0.47,14.8936170212766,278844.936767979,2004.0,20.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,85.6821919360944,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_3,120.0
C92,Vaertaverket,coal,6604,0.0,0.0,0,0.33,28.1969696969697,350935.393502816,1990.0,30.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,0.0,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_3,0.0
C93,Angelholm,CCGT,6335,28.0,28.0,0,0.58,38.8551724137931,99299.0381405309,1991.0,40.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,7.23650512547851,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_4,28.0
C94,Gunnesbovorket,OCGT,5671,25.0,25.0,1,0.41,53.5243902439025,45218.9906699585,1991.0,40.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,6.46116529060581,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_4,25.0
C95,Lulea,CCGT,6931,100.0,100.0,0,0.58,38.8551724137931,99299.0381405309,1999.0,40.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,32.4261894705758,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_1,100.0
C96,Stjarnvik,OCGT,6646,60.0,60.0,1,0.41,53.5243902439025,45218.9906699585,1999.0,40.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,42.8410959680472,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_3,60.0
C97,Vasthamnsverket 2,CCGT,6335,69.0,69.0,0,0.58,38.8551724137931,99299.0381405309,2000.0,40.0,powerplantmatching,Inf,1.0,0.0,0.0,1.0,0.0,,PQ,other,0.0,17.832816202072,0.0,1.0,0,0.0,0.0,,,1.0,1.0,0.0,SE,SE_4,69.0
