StorageUnit,name,carrier,bus,p_nom,capital_cost,max_hours,efficiency_store,efficiency_dispatch,cyclic_state_of_charge,p_min_pu,build_year,control,type,p_nom_extendable,p_nom_min,p_nom_max,p_max_pu,p_set,q_set,sign,marginal_cost,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge_per_period,standing_loss,inflow,p_nom_opt,country,bidding_zone,p_set_before_scaling
52 hydro,Kymmen,PHS,6630,56.0,177831.093925293,,0.866025403784439,0.866025403784439,1,-1.0,0,PQ,hydro,0,0.0,Inf,1.0,90.3176833751453,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,SE,SE_3,56.0
111 hydro,Letten 2,PHS,6630,36.0,177831.093925293,2003.33333333333,0.866025403784439,0.866025403784439,1,-1.0,0,PQ,hydro,0,0.0,Inf,1.0,58.061367884022,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,SE,SE_3,36.0
332 hydro,Tevla 2,PHS,7061,49.6,177831.093925293,2054.20967741935,0.866025403784439,0.866025403784439,1,-1.0,0,PQ,hydro,0,0.0,Inf,1.0,31.1489249687409,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,49.6
373 hydro,Stolsdal,PHS,6694,23.0,177831.093925293,30.9176470588235,0.866025403784439,0.866025403784439,1,-1.0,0,PQ,hydro,0,0.0,Inf,1.0,14.3429251468894,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,23.0
411 hydro,Jukla 2,PHS,6675,35.0,177831.093925293,3507.42857142857,0.866025403784439,0.866025403784439,1,-1.0,0,PQ,hydro,0,0.0,Inf,1.0,21.8261904409187,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,35.0
452 hydro,Brattingfoss,PHS,6812,10.7,177831.093925293,2480.0,0.866025403784439,0.866025403784439,1,-1.0,0,PQ,hydro,0,0.0,Inf,1.0,6.71962695898241,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,10.7
509 hydro,Herva 5,PHS,6666,33.0,177831.093925293,4278.9,0.866025403784439,0.866025403784439,1,-1.0,0,PQ,hydro,0,0.0,Inf,1.0,11.7055834875277,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,33.0
571 hydro,Nygard 5,PHS,6651,81.0,177831.093925293,1714.55714285714,0.866025403784439,0.866025403784439,1,-1.0,0,PQ,hydro,0,0.0,Inf,1.0,28.7318867421134,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,81.0
575 hydro,Oljusjoen 2,PHS,6667,50.0,177831.093925293,1487.64,0.866025403784439,0.866025403784439,1,-1.0,0,PQ,hydro,0,0.0,Inf,1.0,17.7357325568601,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,50.0
0 hydro,Bastusel,hydro,6929,100.0,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,75.0882631833417,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,SE,SE_2,100.0
